"MW","Peak2Mean","Peak2SD","Peak3Mean","Peak3SD"
100,0.0543229183187946,0.0245885230991133,0.0253431403647898,0.0323385494353539
200,0.111441806465948,0.0339661857967709,0.0466203866237085,0.0465602770718352
300,0.174260464737499,0.0412821808978394,0.0671463543080515,0.0528778188146181
400,0.242871892623506,0.0473321571236529,0.0859754981577562,0.0555111136719868
500,0.309873693687685,0.0548810706892611,0.104186084897796,0.0540749397880956
600,0.375897159962035,0.0600498222303276,0.12616656202088,0.0537664365290512
700,0.441295321130232,0.0656216621278284,0.148225904961884,0.0509133720269236
800,0.503239168110919,0.0735318741690054,0.173967758521086,0.0517203919855515
900,0.559022173164708,0.0810066811649578,0.206049479907206,0.0569818219305576
1000,0.611441718920193,0.0866137258979519,0.240258924127714,0.0642274886709161
1100,0.662693653593035,0.0922989967191638,0.277849505115365,0.0731141616381028
1200,0.718776611450815,0.102761780315891,0.321681851906135,0.082384205400085
1300,0.773154543478962,0.104783818609914,0.368042838090935,0.0910179680173745
1400,0.821926533106746,0.117851524314978,0.414748795427023,0.102913864709339
1500,0.875247243119822,0.119350440580795,0.466504273999215,0.112680997919923
1600,0.931307110504136,0.129472350751182,0.518187564407673,0.121337227611273
1700,0.991503967610342,0.137661124452661,0.577373763147716,0.137808305014515
1800,1.04104450156371,0.143055600945356,0.63535063324122,0.15463131454421
1900,1.1014636964251,0.144943122756971,0.706238378598817,0.168097699312898
2000,1.14077990658739,0.157263972796855,0.760722873448261,0.171927012384041
2100,1.19259450902006,0.167422338807934,0.825593772777192,0.197933258192736
2200,1.25617212053518,0.177792675186043,0.907194733560207,0.222316794047957
2300,1.30820353798424,0.170968299572324,0.979698503879992,0.234579700883873
2400,1.34652940119611,0.186598721428526,1.04265936978428,0.236350884627413
2500,1.39484039393874,0.184358326405527,1.10640290577946,0.249564288257589
2600,1.44020252455948,0.187600867698611,1.18584285108417,0.251265638358532
2700,1.49405091506231,0.223157845484239,1.26896775023921,0.30413834548548
2800,1.56539244654841,0.251069057515632,1.38758978593855,0.390136418931333
2900,1.6383647724649,0.249509251876747,1.50684829728896,0.409411961867384
3000,1.64873917112201,0.22350070926005,1.53704578727074,0.357006568404815
